cluster;representative protein;other proteins
3327;Q9UJV3;O15344
3328;Q9UL63;
3329;Q9UPT5;
3330;Q9Y6Q2;
3331;A0A1B0GTH6;
3332;P28698;
3333;P33992;
3334;Q6SJ93;
3335;Q96P31;Q96LA6,Q96LA5
3336;Q9UBT7;
3337;Q9Y4W2;
3338;P85037;Q01167,
3339;Q14526;Q96JB3,
3340;Q5VTL7;
3341;Q7Z2T5;
3342;O15259;
3343;P13010;
3344;P13798;
3345;P23276;
3346;P33402;Q02108,
3347;P48449;
3348;Q8NI17;
3349;Q96T17;
3350;Q9NV66;Q6NUM6
3351;Q13823;
3352;Q86SP6;
3353;Q8N103;
3354;Q8NHY2;
3355;Q8TBA6;
3356;Q96AQ6;
3357;Q9UGI6;O15554,Q92952,Q9H2S1
3358;O60583;O60563,
3359;P52272;Q9P2K5,
3360;Q684P5;P47736
3361;Q8TDW5;
3362;Q9H2J7;Q695T7,Q9H1V8,Q96N87,Q9NP91
3363;Q9NZJ0;
3364;Q13061;
3365;Q16348;P46059
3366;Q17RY0;Q7Z5Q1,Q8NE35
3367;Q3YEC7;
3368;Q8TEC5;
3369;Q92560;
3370;Q92841;P17844,
3371;Q96S59;Q6VN20,
3372;Q9P2N2;
3373;Q9UBB6;
3374;Q9UHD2;Q14164
3375;O00459;P27986,Q92569
3376;P05165;
3377;P12755;
3378;P14210;
3379;Q5VWT5;
3380;Q8TBB1;Q8N448
3381;Q9UJC3;Q96ED9,Q86VS8
3382;Q9Y2L9;O75427,
3383;O75112;
3384;P28331;
3385;P43304;
3386;P46199;
3387;P49711;Q8NI51,
3388;Q4J6C6;
3389;Q86XD8;
3390;Q8NA31;
3391;Q92556;Q96JJ3,Q96BJ8,
3392;Q96MU7;
3393;Q9BYZ6;Q3MIV0,O94844,
3394;Q9H6T0;Q6NXG1
3395;Q9Y2G4;
3396;P50747;
3397;Q5W0B1;
3398;Q8IU68;
3399;Q8NBF2;
3400;Q9H8Y5;
3401;O00418;
3402;Q5VZE5;
3403;Q6PJW8;
3404;Q8IYI6;
3405;Q8N187;
3406;Q8NEP3;
3407;Q96RQ3;
3408;Q96SZ4;
3409;Q96T83;Q92581,Q8IVB4
3410;Q99661;Q8N4N8,O00139,
3411;Q9HAU8;Q9H4A4,
3412;O75330;
3413;Q6SZW1;
3414;Q6ZQN7;Q86UG4,Q96BD0
3415;Q71RC2;
3416;Q96GR2;Q5FVE4
3417;Q9NQI0;O00571,O15523,A0A075B6V9
3418;O00548;Q9NR61,
3419;Q08426;
3420;Q32MQ0;
3421;Q6UWE0;
3422;Q7Z388;Q6ZPD9,
3423;Q7Z402;
3424;Q8IWZ5;
3425;Q8N1B4;
3426;Q8TAM1;
3427;Q8TE68;
3428;Q96M32;
3429;Q9NZ52;Q9UJY5,
3430;Q17RC7;
3431;Q5T6C5;
3432;Q9NZQ3;
3433;Q9P2Y4;
3434;Q9Y223;
3435;Q13144;
3436;Q16659;P31152,
3437;Q9BXC9;
3438;Q9H6R7;
3439;Q9Y608;
3440;O43548;Q08188,P21980,O95932,Q96PF1
3441;O95573;O60488,
3442;P56975;
3443;Q6UXH9;
3444;Q969H4;
3445;Q9H9D4;
3446;Q9NYZ3;
3447;A6NGR9;
3448;P33993;
3449;Q8NCS7;Q53GD3,Q8IWA5,
3450;Q96RL1;
3451;Q96T68;
3452;Q9H8H0;
3453;Q9P286;O96013,Q9NQU5
3454;P53794;Q8WWX8,P13866,Q9NY91,Q2M3M2,P31639,A0PJK1
3455;Q6NSI8;
3456;Q8NE18;
3457;Q93063;
3458;Q9BYH8;
3459;Q9UPU9;Q5PRF9
3460;Q9Y6D9;
3461;Q12996;
3462;Q6P3S6;
3463;Q9H0K4;Q5TD94
3464;Q9H307;
3465;Q9UH99;
3466;Q9Y2Z2;
3467;A6NDX5;
3468;Q2M385;
3469;Q4VC44;Q96CP2
3470;Q6TDU7;
3471;Q6UXK5;Q9H3W5,O75325,
3472;Q8N8K9;
3473;B3KS81;
3474;O15409;Q8IVH2,Q9H334
3475;P20592;P20591,
3476;Q13330;Q9BTC8,O94776
3477;Q2TV78;P26927
3478;Q8IWZ6;
3479;Q8IYE1;
3480;Q8IYT3;
3481;Q8IZW8;
3482;Q8N8Z6;
3483;Q92503;O43304
3484;Q9H6S3;
3485;A0AV02;
3486;P57058;
3487;Q6NSJ0;
3488;Q6ZUT3;
3489;Q8N302;A0A2R8YFF1,
3490;Q8TC05;
3491;P55290;
3492;Q5SWA1;
3493;Q7Z4F1;
3494;Q86SQ7;
3495;Q99797;
3496;Q9NT99;Q9HBW1,Q9HCJ2
3497;Q9Y253;
3498;Q9Y2K1;
3499;B2RXH4;
3500;O15060;
3501;P51617;
3502;Q7Z404;
3503;Q8IUC6;A0A087WVI8
3504;Q8N5C8;
3505;Q9H0E7;Q70CQ1
3506;Q9NYB5;K7EP34,Q9Y6L6,Q9NPD5,H3BMA8,K7EPY8,G3V0H7,P46721,K7EJF2,K7ELV7
3507;A2AJT9;
3508;O94830;
3509;O94850;
3510;Q4KMQ1;
3511;Q70EK9;Q9UPT9,A6NNY8
3512;Q92945;Q96I24,Q96AE4
3513;Q9BYJ1;O75342,O15296
3514;Q9H116;
3515;Q9NWN3;
3516;Q9UBD5;
3517;Q9UQF2;
3518;P02788;P02787,
3519;P19338;
3520;P48147;
3521;Q2TAK8;Q5H9M0,
3522;Q3MIN7;
3523;Q6ZW61;
3524;Q8N5V2;
3525;Q92541;
3526;Q9NVR2;
3527;Q9NYY8;
3528;Q9UIG8;
3529;A4FU01;
3530;O75069;O94876,Q9ULS5
3531;O94956;
3532;Q08945;
3533;Q14123;Q01064,P54750
3534;Q14444;
3535;Q2YD98;
3536;Q8N307;
3537;Q92542;
3538;Q9NUQ8;
3539;Q9UH90;
3540;Q9UKG1;Q8NEU8
3541;O00471;
3542;O43164;Q8NG27
3543;P20810;
3544;P49959;
3545;Q4G163;
3546;Q6P3R8;
3547;Q6UWL6;
3548;Q86TG7;
3549;Q8IZF7;Q8IZF3
3550;Q8NCN4;
3551;Q96T51;Q7L099,Q8WXA3
3552;Q9NQG7;
3553;Q9NVR0;
3554;Q9NVU0;
3555;Q9UGI0;
3556;P14780;P08253,
3557;P23246;Q8WXF1,Q15233,
3558;Q6NZY4;
3559;Q969H0;
3560;Q9BU23;
3561;Q9H078;
3562;Q9H4Q3;
3563;Q9NQR7;
3564;Q9NX78;
3565;O14523;
3566;O60353;Q9NPG1,
3567;P41182;Q8N143
3568;Q5T197;
3569;Q6IA69;
3570;Q7L622;
3571;Q9NVM9;
3572;P00736;Q9NZP8
3573;P17600;O14994,Q92777,
3574;Q8N350;
3575;Q8N3C7;Q96DZ5
3576;Q969R5;Q05BQ5,
3577;Q9H892;
3578;Q12931;
3579;Q96EF0;Q9Y217,Q9Y216
3580;Q96NY7;Q9NZA1,O95833,O15247,O00299,Q9Y696
3581;Q9BYT8;P52888
3582;Q9H4Z3;
3583;Q9H992;
3584;O15234;
3585;O95352;
3586;P23142;
3587;Q5VTM2;A6NIR3,Q5VUJ5,Q8TF27,Q5VW22,Q96P64,
3588;Q8N6Y0;
3589;Q8N9T8;
3590;Q8ND24;
3591;Q96MT8;
3592;Q99941;
3593;P06731;Q9UQ72,P11464,Q3KPI0,Q9UQ74,Q00888,Q13046,Q00887,M0QXV9,Q14002,P40199,P11465,Q15238,P40198,Q00889,P31997,M0QYM2,P13688,Q16557
3594;Q04446;
3595;Q5SY16;
3596;Q6Y2X3;P82979,H0YHG0,H0YHR6,H0YIP3,H0YHH1
3597;Q8IZ21;
3598;Q96KJ4;
3599;Q9H8Y1;
3600;A9YTQ3;
3601;Q9H0J9;
3602;Q9H0K6;
3603;Q9NR19;
3604;Q9UF56;
3605;Q9Y3L3;Q6ZT62
3606;Q9Y592;
3607;O15254;
3608;O75127;
3609;P10244;
3610;Q92902;
3611;Q96QV1;
3612;Q9UQR0;Q96GD3,
3613;O94769;
3614;P23327;
3615;P48740;O00187
3616;Q06210;O94808
3617;Q14978;
3618;Q5VIR6;
3619;Q8N6R0;
3620;Q96M02;
3621;Q9H720;
3622;Q9NUY8;
3623;Q9P2Y5;
3624;Q9UI46;
3625;Q9UKM7;
3626;P33121;Q9ULC5,Q9UKU0
3627;Q53GS7;
3628;Q6ZRP7;
3629;Q8NC60;
3630;Q96RL6;Q96LC7,H7BZU6,A6NMB1
3631;Q9BZW7;
3632;Q9UBK8;
3633;O43167;
3634;P05129;P05771,P17252
3635;Q86VQ0;
3636;Q86XR2;
3637;Q8IV35;
3638;Q96GX1;
3639;Q9H0V1;
3640;Q9H3C7;
3641;Q9NX65;
3642;O00461;
3643;Q5W0A0;
3644;Q86VW0;
3645;Q96MP5;
3646;Q9NZN1;Q9NP60,
3647;Q9UBH6;
3648;Q9Y426;
3649;P49418;
3650;Q02040;
3651;Q68DH5;
3652;Q6IPM2;
3653;Q6ZW33;
3654;Q7Z417;
3655;O96006;
3656;P42166;
3657;Q13480;
3658;Q16281;Q16280,Q8IV77,P29973
3659;Q6PCT2;
3660;Q6TGC4;
3661;Q6ZU52;
3662;Q86XJ1;O43903,
3663;Q9H461;Q13467
3664;Q9Y2J0;Q14184,Q9UNE2,Q14183
3665;Q9Y4A8;
3666;A6NDK9;A6NDN3,P0CG33,Q9NYA3,
3667;P49915;
3668;Q49AG3;
3669;Q53ET0;
3670;Q9H2G4;
3671;Q9NYJ8;
3672;Q9Y653;
3673;O43823;
3674;Q86SG6;K7EL04
3675;Q86YC3;
3676;Q8NBP7;
3677;Q96SD1;
3678;Q9NVM4;
3679;A8K979;
3680;O60393;
3681;O75864;
3682;P16452;
3683;P78424;
3684;Q504Y0;
3685;Q6IQ21;
3686;Q8TC07;Q9HA65
3687;Q8TDR0;
3688;Q96QF7;
3689;Q9HAS3;O00337,O43868
3690;Q9HCJ3;Q8IY67,K7EQG2,
3691;Q9P1Z2;
3692;Q9UKA1;
3693;O15226;
3694;O95436;Q06495,Q8N130,
3695;Q7Z353;
3696;Q86WN1;
3697;Q9HBW9;
3698;Q9NR80;O43307,Q96N96
3699;Q9Y2P5;Q5K4L6,Q9Y2P4,O14975,
3700;O15231;
3701;P0C7T5;
3702;P25098;P35626,
3703;Q5JTW2;
3704;Q5T2E6;
3705;Q6NUQ4;
3706;Q6ZVT6;
3707;Q7L2J0;
3708;Q96EY7;
3709;Q9HB58;
3710;Q9NQV8;
3711;Q9NUB1;
3712;O95171;
3713;P09871;
3714;P10074;
3715;P78362;Q9UPE1,Q96SB4
3716;Q3MII6;
3717;Q96NL6;
3718;Q9BSC4;
3719;P51800;P51801,
3720;Q9HBE1;
3721;Q9NVU7;
3722;A1A5C7;
3723;O60294;
3724;O95936;Q9UL17
3725;Q6P2C0;
3726;Q6UX68;
3727;Q7Z304;
3728;Q8IUC4;Q8TCX5,A8MT19
3729;Q8IUZ0;
3730;Q969X6;
3731;Q96MM6;O43301
3732;Q9H6R3;
3733;Q9HCS5;
3734;O00237;
3735;P0CG48;Q15843,P62979,A0A2R8Y422,P0CG47,P62987
3736;P54803;
3737;Q07837;
3738;Q68D10;
3739;Q68DL7;
3740;Q8N8U9;
3741;Q9NYY3;Q9H4B4,
3742;Q9Y252;
3743;A8MX76;
3744;P12757;
3745;P49221;
3746;P81274;Q86YR5,
3747;Q53H47;
3748;Q6P9F0;
3749;Q8IUH8;Q8TCT7,Q8NCU8
3750;Q8IWF2;
3751;Q8N3L3;Q9NUQ3,Q9BZA5,P40222
3752;Q8WU76;
3753;Q8WVZ9;Q86V97
3754;Q96RR1;
3755;Q9UKF6;
3756;Q9Y450;
3757;O14978;Q6NSZ9
3758;O43395;
3759;Q13769;
3760;Q155Q3;
3761;Q8WWK9;
3762;Q96DU7;
3763;Q16650;
3764;Q5U623;
3765;Q5VTQ0;Q5SRH9,
3766;Q99081;P15884
3767;O00566;
3768;O75943;
3769;Q4G0Z9;
3770;Q96NU1;
3771;Q99424;Q15067,
3772;Q99501;
3773;O15228;
3774;P23352;
3775;Q7Z4Q2;
3776;Q8NE28;
3777;Q96AC1;Q86UX7,Q9BQL6
3778;Q96BD5;
3779;Q9H3D4;P04637,O15350,
3780;P38646;P34931,P48741,P0DMV9,P54652,P17066,P11021,P0DMV8,P11142
3781;Q2TB18;
3782;Q3SXY7;
3783;Q8IVT2;
3784;Q8WUM9;Q08357,
3785;Q96JA4;
3786;Q96PX1;O60291
3787;C9JLR9;
3788;O15037;
3789;O75746;Q9UJS0
3790;P45844;Q9H172,
3791;Q12889;Q9BZP6,Q15782,Q13231,P36222
3792;Q14393;P07225,
3793;Q460N3;
3794;Q5T6L9;
3795;Q6UXI7;
3796;Q96C10;
3797;O15062;
3798;P05060;
3799;P16278;Q6UWU2
3800;P16435;
3801;P49848;
3802;Q15061;
3803;Q6UWJ1;
3804;Q8N5D0;
3805;Q8TAF3;
3806;Q92994;
3807;Q96RD6;
3808;Q9NZT2;
3809;P51787;
3810;Q05655;
3811;Q8WYA0;
3812;Q92935;
3813;Q96N76;
3814;Q9BQ70;
3815;Q9UGP4;A6NIX2,
3816;Q9UQC2;Q2WGN9
3817;A0A1B0GUU1;
3818;A1IGU5;
3819;P51813;P42680,Q06187,Q08881,P42681
3820;Q0ZGT2;
3821;Q8N3R9;
3822;A6NI56;
3823;O43895;Q9NQW7
3824;O75807;
3825;O75916;O94810
3826;P09917;P16050,P18054,
3827;Q09019;M0R256,M0QYC6,M0R0L4,M0QX08,Q8TBZ3
3828;Q6PIW4;
3829;Q8N2M8;
3830;Q9BTX1;
3831;Q9P1V8;
3832;Q9UBU7;
3833;A6NDB9;
3834;O43524;Q12778,A0A2Z4LIS9,A8MYZ6,
3835;O60299;
3836;P08133;Q5VT79,P13928,P27216,P12429,P08758,Q9UJ72
3837;P51116;P51114,Q06787
3838;Q05516;
3839;Q2M2Z5;
3840;Q6EMK4;
3841;Q6ZVT0;
3842;Q8IUR7;
3843;Q9BW19;
3844;Q9H221;
3845;Q86T24;
3846;Q86V21;
3847;Q8NCG7;
3848;Q8NEM2;
3849;Q96NG3;
3850;Q9HC96;
3851;Q9NPB8;
3852;O60504;
3853;O76094;
3854;P54257;
3855;Q13546;
3856;Q13976;P22694,P51817,P22612,P17612,O43930
3857;Q7Z4V5;Q9Y3E1,
3858;Q8N7J2;
3859;Q96C24;
3860;Q9UDV7;Q8TD17,
3861;O95447;
3862;P18850;
3863;Q6Q0C0;
3864;Q8TF50;
3865;Q96CN5;
3866;Q96M63;
3867;Q96QH2;
3868;Q9NVP1;
3869;Q9UNK9;
3870;Q9Y6X4;
3871;O00178;Q9BX10
3872;O94925;Q9UI32
3873;O96005;
3874;P37088;
3875;P51511;P50281,Q9Y5R2,P51512
3876;Q6MZZ7;
3877;Q7RTS9;
3878;Q86UA1;
3879;Q8N442;
3880;Q8WU66;
3881;Q969S8;
3882;Q96PK6;
3883;Q9BRK4;
3884;Q9BSK4;Q96JP0,
3885;Q9BVL4;
3886;Q9UJ78;
3887;Q9Y2N7;
3888;P30203;
3889;P81408;
3890;Q0VDD7;
3891;Q8N1M1;Q8NFU0,Q8NFU1,O76090,
3892;Q13438;
3893;Q8NFR9;
3894;Q9BX79;
3895;Q9UGJ1;
3896;O75326;
3897;Q08AG5;A0A494BZV4,Q96BR6,Q6ZQV5,O60384
3898;Q13470;
3899;Q13554;Q9UQM7,Q13555,Q13557
3900;Q5SNT2;
3901;Q8N0X7;
3902;Q8N8A6;
3903;Q8WVC0;
3904;Q12934;
3905;Q13613;Q13496,Q13614
3906;Q14807;
3907;Q86WT1;Q8N4P2,
3908;Q8ND71;
3909;Q96B97;
3910;Q96JL9;Q6ZNG0,Q5T5D7,
3911;Q96M89;
3912;Q96S55;
3913;Q9BY84;Q13202,
3914;Q9H6T3;
3915;Q9Y2J8;Q9UM07,Q9ULC6,Q9ULW8
3916;P02545;Q03252,P20700
3917;P31040;
3918;Q14515;P09486
3919;Q2TB10;
3920;Q8N5G2;
3921;Q8NC74;
3922;Q8WU17;
3923;Q96BT7;
3924;Q96EP1;
3925;Q3KP66;
3926;Q68CP4;
3927;Q7L0X2;
3928;Q8N392;
3929;Q96MT1;
3930;Q96T25;Q8N9L1,
3931;Q99607;
3932;Q99805;Q92544
3933;Q9NX95;O15079,
3934;O43572;
3935;P19113;P20711,
3936;P42701;
3937;Q14392;
3938;Q14CZ7;
3939;Q8IYS0;
3940;Q9H714;
3941;Q9UHV5;
3942;Q9UJ14;
3943;O60285;Q9H093,
3944;P05160;
3945;P40967;
3946;P57075;
3947;Q96PZ0;
3948;Q99467;
3949;Q9H7D7;
3950;Q9NQ79;
3951;Q9UI40;
3952;O43155;Q9NZU0,Q9NZU1,
3953;P54136;
3954;Q08289;P54284,Q02641,O00305
3955;Q3B820;
3956;Q8NFH8;
3957;Q8NHV4;
3958;Q8WZA1;
3959;Q9NW15;
3960;P0CG23;
3961;P28288;
3962;Q5U5Q3;Q6ZN04,A1L020,
3963;Q8TAP6;
3964;Q8TE77;
3965;Q9NXH9;
3966;O00116;
3967;P17813;
3968;P23786;
3969;P52569;P30825,Q8WY07
3970;Q2TAA8;
3971;Q9H089;
3972;Q9NV88;
3973;C9JQI7;
3974;P0CF97;Q8TCP9
3975;P42357;
3976;Q15256;P54829,P35236
3977;Q6UVJ0;
3978;Q7Z3E1;
3979;Q86SF2;
3980;Q8WWI5;Q8N4M1
3981;Q92611;
3982;Q96DM3;
3983;Q96FV9;
3984;Q9H6X5;
3985;Q9Y2V7;
3986;P26374;P24386,
3987;P42898;
3988;Q01844;P35637
3989;Q2M243;
3990;Q6ZW76;
3991;Q8N309;
3992;Q8N9H9;
3993;Q8TE54;
3994;Q9BW27;
3995;Q9P0U4;
3996;O75509;
3997;P49748;Q9H845,
3998;Q04756;
3999;Q15311;
4000;Q86W26;
4001;Q96KR4;
4002;Q9BVA0;
4003;Q9H347;
4004;Q9HBG7;
4005;Q9NY59;
4006;Q9P2N7;Q53HC5,Q9P2J3,
4007;Q9UK17;Q9NZV8,Q9NSA2
4008;Q9UNQ0;
4009;P15923;
4010;Q03169;
4011;Q96IV0;
4012;Q96JX3;
4013;Q9NRA0;K7EMA4,K7EJ32,Q9NYA1
4014;Q9NW82;
4015;A6NMB9;
4016;O14829;
4017;O75081;O43439,Q06455
4018;P22459;P22460,P16389,Q09470,Q96RP8,P22001,Q16322,P17658
4019;P33908;O60476,Q9NR34
4020;P35475;
4021;Q13049;
4022;Q8NCI6;Q8IW92
4023;Q96GC6;
4024;Q9BXF6;
4025;Q9BZQ2;
4026;P07359;
4027;P0C671;
4028;Q66K79;P15169
4029;Q68BL7;
4030;Q6ZN84;
4031;Q86UU5;
4032;Q86VX9;Q7L1V2,
4033;Q86WS4;
4034;Q9BY15;Q86SQ3,
4035;Q9NPY3;
4036;O75925;O75928,Q8N2W9,Q9Y6X2,
4037;P08236;A0A1W2PPM0,Q15486,Q6P575
4038;P35663;
4039;P49757;Q9Y6R0
4040;Q14680;Q96PN8,
4041;Q86XN8;
4042;Q9H222;
4043;Q9H7E2;
4044;Q9NPI1;
4045;Q9NVC6;
4046;Q9NYV6;Q2M238,A6NIE6
4047;P51693;
4048;Q5GH76;Q5GH72,Q5GH73
4049;Q8NCE2;
4050;Q8NHL6;O75023,Q8N423,Q8NHJ6,A6NI73,Q8N149,Q6PI73,P59901,O75019,Q8N6C8,O75022
4051;Q96G46;K7EMI3
4052;Q9UGH3;Q9UHI7,
4053;Q9UNN5;
4054;P46063;
4055;P51170;
4056;Q16643;
4057;Q16881;Q86VQ6,Q9NNW7
4058;Q6QHF9;
4059;Q86X29;
4060;Q8TF42;
4061;O15353;
4062;O95125;
4063;Q15397;
4064;Q5T9A4;Q5T2N8,Q9NVI7
4065;Q8NBF6;
4066;Q96QE2;
4067;Q9C098;
4068;Q9H0M4;
4069;Q9NXZ2;Q86TM3,
4070;A0A0J9YXQ4;A0A0J9YX94
4071;P10515;
4072;P53667;P53671,
4073;Q49MG5;
4074;Q6P5W5;
4075;Q8N3J3;
4076;Q8NI60;Q96D53,
4077;Q96FT7;Q16515,P78348,
4078;Q96MY7;
4079;Q9BTA9;
4080;Q9P209;
4081;Q9UFC0;
4082;Q9UP38;Q14332,Q9ULW2,O00144,O75084
4083;P30291;P0C1S8,
4084;P43121;
4085;Q6PCB7;Q6P1M0,
4086;Q96BP3;Q9H2H8,Q9Y3C6
4087;Q96F45;Q9H7S9,
4088;Q96FN5;
4089;Q9ULX6;
4090;O14576;Q13409,
4091;P13667;P30101,
4092;P42331;
4093;Q17RD7;Q58G82,Q8NB59
4094;Q6PI48;
4095;Q8IWZ8;
4096;Q8NA70;A6NHR8
4097;Q8NG66;
4098;Q9NTW7;
4099;O95905;
4100;P01042;
4101;P04264;O95678,P35908,P78385,P05787,P02538,P13647,Q5XKE5,Q86Y46,P19013,P12035,Q7RTS7,Q8N1N4,Q7Z794,Q3SY84,O43790,Q9NSB2,Q01546,P48668,A6NCN2,P04259,P08729,Q9NSB4,Q14533,P78386,Q14CN4
4102;Q13310;Q9H361,Q96DU9,P11940,P0CB38,Q5JQF8,Q4VXU2
4103;Q14166;
4104;Q16587;Q96PQ6,Q6ZMY9,P21506,Q6ZS27,
4105;Q6NUN9;
4106;Q8N239;
4107;Q9HC58;Q8NFF2
4108;Q9NRR6;
4109;Q9P0U3;
4110;Q0P6H9;
4111;Q5TEJ8;
4112;Q8TC92;Q16206,
4113;Q8TD91;
4114;Q92911;Q8N695,Q1EHB4,
4115;Q92959;
4116;Q9NWL6;U3KQP1,
4117;Q9UKV5;
4118;O14777;
4119;Q53EQ6;
4120;Q6TDP4;O94889,Q53G59,Q9NXS3
4121;Q8WVM8;
4122;Q9BTE3;
4123;Q9Y6Y0;
4124;O95208;Q9H201,
4125;Q8N1K5;
4126;Q9H611;
4127;Q9H6W3;
4128;Q9Y2W2;
4129;Q9Y6Q1;O15484,
4130;A4FU49;
4131;O00472;
4132;P07911;P55259
4133;P10242;
4134;P13196;P22557
4135;P51168;
4136;Q02297;
4137;Q16822;P35558,
4138;Q5JVL4;
4139;Q6NSJ2;
4140;Q96PP9;Q8N8V2,Q6ZN66,Q9H0R5,P32455,Q96PP8,P32456
4141;Q9UBT2;
4142;O95453;
4143;O95677;O00167,Q99502,Q99504
4144;P50542;Q8IYB4
4145;Q15637;
4146;Q71H61;
4147;Q8IUR6;
4148;Q8N3T1;
4149;Q9P2B4;
4150;Q9Y5K6;
4151;C9JSJ3;
4152;O94818;Q96MY1,
4153;P03952;P03951,
4154;P08240;
4155;P10912;
4156;P49761;Q9HAZ1,P49759,P49760,
4157;P52747;P36508
4158;P60852;
4159;Q5H9K5;Q9NPI7,
4160;Q5VWK0;P0C2Y1,Q86XG9,Q96M43,Q9H094
4161;Q96LD4;A0A0M3HER3,K7EJ63
4162;Q96MH7;
4163;O14744;
4164;P48506;
4165;Q86YS3;
4166;Q96JB8;
4167;Q9NY28;Q6P9A2,Q6IS24,Q9HCQ5
4168;Q15025;
4169;Q6UWB1;
4170;Q86U38;
4171;Q8WYA1;O00327,
4172;Q99884;P48065,P31641,P23975,Q01959,P48066,P30531,P31645,Q9NSD5,P48029
4173;Q9NZB8;
4174;Q9ULJ1;
4175;O43246;
4176;P40238;
4177;P43405;
4178;Q9ULN7;
4179;Q9Y289;
4180;A8MVM7;
4181;O15209;
4182;O75167;A0A2R8YDH7,H3BS82
4183;Q53GT1;H7BZZ5
4184;Q5TGY1;
4185;Q6UUV9;
4186;Q6ZRF8;
4187;Q8IXW0;
4188;Q8IYS2;
4189;Q9BZE4;
4190;Q9H511;
4191;Q9NUX5;
4192;O43390;H0YAA0,O60506
4193;O76031;
4194;O94927;
4195;P18887;M0R2N6,
4196;Q14435;Q8IXK2,Q8N4A0,Q8IUC8,Q8NCL4,Q10472
4197;Q86YP4;
4198;Q8NEC7;
4199;Q8NEG5;
4200;Q8TDN4;Q9BTV7,
4201;Q9UBL6;O95741,Q99829,Q96FN4,Q96A23,Q86YQ8,Q8IYJ1,Q9HCH3,O75131
4202;A1L0T0;
4203;A6NC78;H3BQL2,H3BPF8,A8MQT2,I6L899,Q0D2H9,A6NMD2,Q08AF8,P0CJ92,D6RF30,A7E2F4,H3BSY2,A6NN73,F8WBI6,H3BV12,A6NCC3
4204;O14492;
4205;Q3KQV3;Q8IVC4,Q8TAW3,M0R1H3,P52741,Q68DY9
4206;Q7L311;Q9UH62,Q8N2F6
4207;Q8IUH5;Q8IUH4
4208;Q8NAN2;
4209;Q9H0H5;
4210;Q9UN88;
4211;Q9UPZ9;P20794,
4212;A0MZ66;
4213;A6NF34;
4214;O60216;
4215;P04844;
4216;P0C7V8;A6NGE4,Q5TAQ9
4217;P17405;
4218;P20823;
4219;Q567U6;
4220;Q8N0X2;
4221;Q969Z0;
4222;Q9H4E7;Q9UH65,
4223;Q9ULX5;
4224;Q9Y2B5;
4225;A8MPX8;
4226;P08195;
4227;P13797;Q14651,P13796
4228;Q13421;
4229;Q14258;
4230;Q6S5L8;P98077,Q92529,P29353
4231;Q8WV44;Q96A61,
4232;Q96HB5;
4233;Q9BQI3;
4234;Q9NQX1;
4235;Q9Y6Q3;Q5HYK9,P58317,Q49A33
4236;A8K855;
4237;O60279;
4238;Q5VWK5;
4239;Q96B18;
4240;O94952;
4241;P50895;
4242;Q8IYD1;P15170,
4243;Q96RF0;Q0VDD5,Q8WV41,
4244;Q9HB63;
4245;Q9P2G3;
4246;Q9UBL3;
4247;O60826;
4248;P43681;P30926,P17787,Q15825,P32297,P30532,Q05901,Q15822,P02708
4249;Q86XI8;
4250;Q9UHB9;
4251;Q9UK73;
4252;A0A140T8X8;A0A0G2JKD1,Q5SSG8,A0A0G2JJF7
4253;P20916;
4254;P61550;
4255;Q15569;Q96S53
4256;Q7Z695;
4257;Q86YJ7;Q8IZ07,Q6ZTN6
4258;Q8IYK4;Q5T4B2,Q8NBJ5,
4259;Q8TE85;Q9NZI5,Q6ISB3
4260;Q92570;P22736,P43354
4261;Q99759;Q9Y2U5,
4262;Q9GZY0;Q9H4D5,Q9UBU9,Q9H1B4
4263;Q9H0I9;P51854,P29401,
4264;Q9H967;
4265;Q9UKG4;Q9BZW2
4266;Q9Y3Z3;
4267;A6NNW6;
4268;O43187;
4269;Q14397;
4270;Q14677;
4271;Q8IZ69;
4272;Q9H9A7;
4273;A6PVS8;
4274;O43252;O95340
4275;Q14145;
4276;Q9BRP7;
4277;Q9H981;
4278;Q9NVW2;
4279;Q9UHD9;Q9UMX0,Q9NRR5
4280;Q9Y5P4;
4281;O94819;
4282;P35527;Q7Z3Y9,P19012,P02533,P13646,P08779,Q04695,Q7Z3Z0,P13645,Q2M2I5,Q99456,Q7Z3Y7,P08727,Q7Z3Y8
4283;P52739;
4284;Q3ZCT8;
4285;Q53TS8;
4286;Q6W3E5;
4287;Q8IY47;
4288;Q8N715;
4289;Q8WZA9;
4290;Q9P2V4;
4291;Q9UG63;
4292;A2RU67;
4293;O15287;
4294;O95460;
4295;P00734;
4296;P16471;
4297;Q5TG30;
4298;Q6PCE3;Q96G03,
4299;Q7Z2Q7;
4300;Q86UW9;Q9Y2E6,Q86Y01,
4301;Q8IXR9;
4302;Q8IYR0;
4303;Q96LX7;
4304;Q96NE9;
4305;Q9H0B6;Q9NSK0,Q07866,Q6P597
4306;Q9UJV9;
4307;Q9UN79;
4308;Q9UPW0;
4309;Q9Y6J9;
4310;A6NKL6;
4311;O43292;
4312;O94842;O15405
4313;O95671;P46597
4314;P55199;
4315;Q2TBA0;O60662
4316;Q8NBR6;Q8N5J2,
4317;Q8WZ60;Q6TFL4,
4318;Q96EK5;
4319;Q96MC4;
4320;Q99543;
4321;Q9NVH0;
4322;Q9UKA2;
4323;O43663;
4324;Q13042;
4325;Q4ZIN3;
4326;Q53F19;
